sentence,span,type,uri,relation,question,gold givenName
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Mr. Phillips,person,(Q18671452),given name,What is the given name of Mr. Phillips?,Henry
"The above, an air from Handel’s Berenice sensibly rendered by Stretton, a duet from the Zauberflute by Mrs. Shaw and Mr. Phillips, and a droll kind of aria by Salvator Rosa, to which Mr. Manvers gave a life which in itself it lacks, were the only other features of interest.",Salvator Rosa,person,(Q359421),given name,What is the given name of Salvator Rosa?,Salvatore; Salvator
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Dr. Coward,person,(Q5719907),given name,What is the given name of Dr. Coward?,Henry
"The Musical Union (Dr. Coward), in the ‘Creation’; the Choral Union (Mr. Suckley), in Verdi’s opera “Ernani”; and the St.-Cecilia Musical Society (Mr. W. Brown), also in the ‘Creation,” have all given evidence oft hat abundant enthusiasm and plentiful supply of good vocal material which have led the supporters of the Festival scheme to foster ambitious hopes as to the future of South Yorkshire choral singing.",Verdi,person,(Q7317),given name,What is the given name of Verdi?,Francesco; Fortunio; Giuseppe
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Svendsen,person,(Q336668),given name,What is the given name of Svendsen?,Severin; Johan
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",William Ackroyd,person,(Q109120689),given name,What is the given name of William Ackroyd?,William
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Wall,person,(Q107203434),given name,What is the given name of Alfred Wall?,Alfred
"The principal pieces in the programme were Mendelssohn's String Quintet in B flat (Op. 87) and Svendsen’s String Octet in A (Op. 3), the latter being played by Messrs. Arthur Bent, Wallace Sutcliffe, William Ackroyd, Alfred Wall, Alfred Hobday, Percy Kearne, Paul Ludwig; and Tennyson Werge.",Alfred Hobday,person,(Q4722438),given name,What is the given name of Alfred Hobday?,Alfred
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",Queen Victoria,person,(Q9439),given name,What is the given name of Queen Victoria?,Victoria; Alexandrina
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",M. Vivier,person,(Q16947558),given name,What is the given name of M. Vivier?,Eugène
"Queen Victoria, on one of these occasions, had the advantage of hearing this new wonder, and was so delighted as to press M. Vivier to pay England a visit, which, need we say, M. Vivier intends very shortly to do.",M. Vivier,person,(Q16947558),given name,What is the given name of M. Vivier?,Eugène
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",delssohn,person,(Q46096),given name,What is the given name of delssohn?,Felix
"As for the musical lite, we swimmingly: _ we - enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men= enter the new year, ringing and delssohn and Mozart and all those grand spirits, Do they not thake anew world of this old wicked earth? “metadata={sent_text:As for the musical lite we swimmingly : _we-enter.with8our ears feet “rhythmically ‘lifted lay the harmori ies of Handel and Beethoven: and Men: ""enter the new year ringing and delssohn and Mozart and all those grand spirits Do they not thake anew world of this old wicked earth?“""}",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",Bemberg,person,(Q3134049),given name,What is the given name of Bemberg?,Herman
"Perhaps the most interesting piece was Bemberg’s ‘La Ballade du Désespéré” for yoice“and declamation, beautifully rendered by Miss Gertrude Bevan and Miss Ellen M. Bowick, with the accompaniments well played by the Misses Edith Byford, May H. Mukle, and Mabel E. Colyer.",May H. Mukle,person,(Q22312922),given name,What is the given name of May H. Mukle?,May
"While no one could be more expressive than he was in such a camtabile as “Fra poco” in ‘Lucia,’ or Tutto scielte” ‘La Sonnambula,” he would fling into the midst of ~one of Rossini’s grandest adugios a roulade, interapinable, unmeaning, and absolutely bordering on vulgarity.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"Tre performance of Haydn’s Seasons at the third of these concerts, at St. James’s Hall, on the 20th ult., had all the effect of a revival, so strangely neglected has the entire work been in England, although detached portions of it have become stock favourites with all who can appreciate the graceful and genial style which is the distinguishing characteristic of the composition.",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"By a similar examination of one of Mozart’s and one of Beethoven’s, it is our object to ascertain how far we have been accurate in our description of the principal differences in the three styles, and to discover if any improvements have been made by the two latter in the models left them by the illustrious inventor of the symphony.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"By a similar examination of one of Mozart’s and one of Beethoven’s, it is our object to ascertain how far we have been accurate in our description of the principal differences in the three styles, and to discover if any improvements have been made by the two latter in the models left them by the illustrious inventor of the symphony.",Beethoven,person,(Q255),given name,What is the given name of Beethoven?,Ludwig
