sentence,span,type,uri,relation,question,gold CoC
"At Bradford, too, there has. been more than ordinary musical activity. On November 22 the second of the Subscription Concerts took place, a miscellaneous programme of much more than average interest being sustained by Miss Esther Palliser, Madame Marian McKenzie, Messrs. Ben Davies and Douglas Powell, with Herr Rosenthal as pianist and Mr. W. H. Squire as violoncellist.",Mr. W. H. Squire,person,(Q2377263),country of citizenship,What is the country of citizenship of Mr. W. H. Squire?,United Kingdom; United Kingdom of Great Britain and Ireland
"Tor, be it said parenthetically, that in literature also Mr. Pepys was' a sound judge of genuine merit, who, to name but (one instance, in an age of studied politeness was able to appreciate the racy force of the old popular ‘ballads of England and Scotland.",Mr. Pepys,person,(Q106143),country of citizenship,What is the country of citizenship of Mr. Pepys?,Kingdom of England
"As grace they sung a “Sanctus,” by Orlando Gibbons, upon which the Rev. Conductor made some interesting remarks, and on the excellence of the older English Church Music, congratulating his auditors on the brighter prospects for solid music, man. arising from the production of convenient and cheap copies sting In Inconsistent contrast to the other Psalms at / of the excellent music which had so long lain dormant in Morning Prayer.",Orlando Gibbons,person,(Q311913),country of citizenship,What is the country of citizenship of Orlando Gibbons?,Kingdom of England
"Another gratifying circumstance presents itself to ‘our recollection, in the promised production of two new oratorios, by Englishmen, at the approaching Norwich Festival — Mr. Pierson’s Jerusalem, and Dr. Bexfield’s Israel Restored, in regard to both of which we have received very flattering accounts.",Mr. Pierson,person,(Q97011),country of citizenship,What is the country of citizenship of Mr. Pierson?,United Kingdom; Germany
"Another gratifying circumstance presents itself to ‘our recollection, in the promised production of two new oratorios, by Englishmen, at the approaching Norwich Festival — Mr. Pierson’s Jerusalem, and Dr. Bexfield’s Israel Restored, in regard to both of which we have received very flattering accounts.",Dr. Bexfield,person,(Q18531021),country of citizenship,What is the country of citizenship of Dr. Bexfield?,United Kingdom of Great Britain and Ireland
"Mr. Moody was born at Dennis Park, Stourbridge, March 22, 1874, was first a pupil of Mr. G. W. Bates, organist of the parish church at that time, and subsequently an articled pupil of Mr. Westlake Morgan, organist of Bangor Cathedral; but he received many valuable hints, especially on accompaniment to the choral service, from the late Sir John Stainer, who, up to the time of his death, took the greatest interest in his young friend’s career.",Sir John Stainer,person,(Q1388550),country of citizenship,What is the country of citizenship of Sir John Stainer?,United Kingdom of Great Britain and Ireland
"Despite this drawback, the Concert wasa brilliant success, and Dr. Mackenzie’s abilities as a conductor were watmly recognised. Mr. Brodsky, the new leader of the Hallé band, made a most tavourable impression on his first appearance before a Leeds audience by his highly poetic and technically perfect playing of the Mendelssohn Concerto, and Madame Marian McKenzie contributed several songs with good effect.",Dr. Mackenzie,person,(Q674739),country of citizenship,What is the country of citizenship of Dr. Mackenzie?,United Kingdom
"Despite this drawback, the Concert wasa brilliant success, and Dr. Mackenzie’s abilities as a conductor were watmly recognised. Mr. Brodsky, the new leader of the Hallé band, made a most tavourable impression on his first appearance before a Leeds audience by his highly poetic and technically perfect playing of the Mendelssohn Concerto, and Madame Marian McKenzie contributed several songs with good effect.",Mr. Brodsky,person,(Q365287),country of citizenship,What is the country of citizenship of Mr. Brodsky?,Soviet Union; Russian Empire
"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Auber,person,(Q157672),country of citizenship,What is the country of citizenship of Auber?,France
"distinguished artists were educated, and afterwards obtained great success in London, Birmingham, Edinburgh, and even in the United States of America, He organised there several philharmonic societies, where the works of Bach, Handel, Beethoven, & c., were performed with rare superiority, at a time when these admirable productions were but little known in London.",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"distinguished artists were educated, and afterwards obtained great success in London, Birmingham, Edinburgh, and even in the United States of America, He organised there several philharmonic societies, where the works of Bach, Handel, Beethoven, & c., were performed with rare superiority, at a time when these admirable productions were but little known in London.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"distinguished artists were educated, and afterwards obtained great success in London, Birmingham, Edinburgh, and even in the United States of America, He organised there several philharmonic societies, where the works of Bach, Handel, Beethoven, & c., were performed with rare superiority, at a time when these admirable productions were but little known in London.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"Has it ever been noticed that on the shore of Lake Como, facing Pliny’s villa, there is a place called Urio, and ten miles away a small town, Erba? The names of these places, presumably old, remind us of the priests to whom are assigned a Te Deum and a Magnificat, extensively used by Handel in ‘Saul,’ ‘Israel,’ & c.”",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"“Pwo souls in their essence so entirely kindred must have kneeled before each ether on first meeting, as the chronicle” relates of the first inter tew of Maria ot Burgundy with Masimilian: ot Austria, which adds: tans qJere fille xsé like that exclaim aticr the “Oh, “And qnust they not. merging leur moult grande. beaute et.",Maria ot Burgundy,person,(Q157073),country of citizenship,What is the country of citizenship of Maria ot Burgundy?,France
"“Pwo souls in their essence so entirely kindred must have kneeled before each ether on first meeting, as the chronicle” relates of the first inter tew of Maria ot Burgundy with Masimilian: ot Austria, which adds: tans qJere fille xsé like that exclaim aticr the “Oh, “And qnust they not. merging leur moult grande. beaute et.",Masimilian : ot Austria,person,(Q150726),country of citizenship,What is the country of citizenship of Masimilian : ot Austria?,Holy Roman Empire
"Good performances of important works for voices and orchestra are far too few in these counties, and the future of this Society will be looked forward to with very considerable interest. Performances of Spohr’s ‘Last Judgment” have been given during Advent in the Cathedral and in St. Thomas’s Church, Newcastle.",Spohr,person,(Q57226),country of citizenship,What is the country of citizenship of Spohr?,Duchy of Brunswick
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Gluck,person,(Q130759),country of citizenship,What is the country of citizenship of Gluck?,Kingdom of Bohemia; Archduchy of Austria
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"then, instead of stepping forw: urd as a reformer, he ought, as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé, Méhul and Boieldieu, Chert ahint and Spontini, Beethoven and= Weber, Spohr.and Weigl, Meyerbeer and Lortzing, also tried to effect, and which they succeeded more or less in doing. metadata={sent_text:then instead of stepping forw: urd as a reformer he ought as a true disciple of honored and to effect nothing but what Gluck and Mozart; Cimarosa and Pacsicllé Méhul and Boieldieu Chert ahint and Spontini Beethoven and: ""Weber Spohr.and Weigl Meyerbeer and Lortzing also tried to effect and which they succeeded more or less in doing.""}",Cimarosa,person,(Q191775),country of citizenship,What is the country of citizenship of Cimarosa?,Republic of Venice
